,reviews
1010,"The rooms were lovely, quiet, clean and had great beds. Located close to the Red line train (easy connection to the Blue line for access to/from O'Hare and bus services to all likely tourist attractions, this is a wonderfully located hotel in a beautiful area. There are most well known stores within easy walking distance as well as access to loads of restaurants, Divvy bikes and the waterside paths.  Ask about the hotel's history and ask to see the Ballroom."
1011,"We held a women’s conference here for 5 days and were very pleased with our choice of hotel. The staff is AMAZING! Our group sales contact, Tiffany, was a joy to work with and the bellhops were terrific. Special shoutout to Nurrie and Craig who were extremely helpful. Although housekeeping staff were very friendly we recommend a bit more attention to details. We had a large suite and it was not fully stocked with supplies upon check in. We did have a few issues with the plumbing in our suite but the engineering staff was quick to fix the issues (thanks engineer Mike) and it in no way affected our stay. This is a historic hotel, so keep that in mind; rooms have been renovated but they are not contemporary in size or decor. Location is amazing; close to the lake and Michigan Ave."
1012,I had contacted hotel prior to going and requested a nice room as we had a double celebration whilst there.  What seemed like a positive reply was received.  On arrival we were allocated a room.  Whilst it was functional it was small and tired.  There was no literature in room about hotel facilities including tv or Wi-Fi. No information had been given at all at check in not even what floor the room was on.   In feed back to Expedia I stated these facts and betel replied that they were ‘mediating direct’ with me.  That was a lie no communication took place at all.   The hotel is in a great location for all amenities and the waterfront. It was disappointing that it was let down.
1013,"I stayed at this hotel for 2 nights in August and loved how close it is to Michigan Ave for restaurants and shopping.    It's just a short walk to Rush Street and River North.   The rooms are spacious, the beds are very comfortable, and it's a short walk to the Signature Room for drinks.   Don't miss a chance to see the view from the Signature Room!"
1014,"My stay was good until my room door was left open. I reported it to the manager. I was told I would receive a call at the end of the day to let me know the outcome of the investigation. I did not receive the call, as promised. When I called the next day for a status update, the same General Manager was very rude, unprofessional and did not seem to be concerned with my complaint. He went so far as to ask me “why I was calling back and what was it that I wanted?” He even told me that “I wasn’t getting anything from him,” even though I had not asked for anything other than a status update. When I told him that I was going to write a review and report it to Corp. his response was “write whatever you want.” I’m appalled at the unprofessional and rude behavior exhibited by a Manager."
1015,"Hotel in the northern part of the city centre of Chicago, metro station 10 minutes walking, several bus stops nearby. Rooms quite big and comfortable. Elevators more or less from the last century. Ideally for a city stay for a couple of days."
1016,"I arrived at the Millennium Knickerbocker Hotel 08/23/2019 and checked out 08/27/2019. The hotel was like any other 4⭐️ hotel. It did have a very comfy bed...cool pictures of Chicago scenes in the room and the fridge was VERY well stocked.   I did love the rain shower and the water was very hot to the point that it could get painful, but I love that! So the room experience was good.   What I fell in love with was the history of the hotel! Al and Ralph Capone ran a bar and Speakeasy on the 14th floor! Super cool!!! There was also a secret staircase so if the police arrived, people could escape lol. Love the history! Also I did have a Southside Cocktail at the bar just to have the full experience!   All in all I would absolutely stay at the hotel again. There’s a black bartender"
1017,"This may have been a good hotel in its day, but too many departments are failing for it to considered as a good hotel. Reception was very busy on arrival with one member of staff overwhelmed. Another arrived, but she had a keyboard to attend to, then a conversation with her working colleague, then a phone call, then the keyboard, then another conversation with the working colleague, then her favourite (the keyboard), then “next” the first acknowledgement that there were paying guests waiting. She couldn’t be bothered to pass on information about the WiFi, gym, restaurants, bars or anything. All we got was a key. We then struggled passed the concierge staff with 3 suitcases and 2 rucksacks, but the were enjoying pleasant company with each other. The room was nice though one phone"
1018,"The welcome wasn't so warm and friendly as expecting in this class of hotel. We don't  receive a hearty welcome when we arrived on Friday evening; for example at the reception when we arrived, for the breakfast morrning at the desk when we are waiting a long time for a voucher,  in the dining-room and for the check-out."
1019,"The hotel was really great! I came for a psychology conference and really got to enjoy my stay in Chicago, with the hotel playing a large role. The rooms were recently renovated  (with amazing bathrooms!), whereas the rest of the hotel remains fairly old-timey (in a good way). Ely at the front desk and Alejandro were phenomenal! Alejandro took a number of the guests on a tour where he showed us secret passageways through the hotel! He was super knowledgeable, friendly, and genuine! The hotel is in a safe area to my knowledge with a small convenience store less than a block away. It is fairly close to the train station, too! If you like anything historical or nice hotels, stay here!"
1020,I traveled 7 hours to come here and got the worst service ever from the front desk rep name Jason. He was very rude to the point I decided to check in at the hotel across the street. After leaving I called him to get corporate number and he replied “Google it” I definitely would not recommend this hotel. With them prices I should have got great customer service. What a night.
1021,"Clean, great location and comfortable rooms. Beds are so soft and I had a lovely night sleep!  Very limited contact with staff and the hotel is quiet at the moment so easy to socially distance within the hotel.   Thank you for a lovely stay. "
1022,"I have stayed here on several occasions and each time it’s a hit and a miss, never quite making the mark.  I stay here because my employers booked it and not through personal choice. Each time I have been here there has been issues with wake up calls either for myself or for one of my colleagues. This ranges from not getting a call at all or to the wake up call being 15-20 minutes late. I’m sure the generic management response will give COVID as a reason to this unprofessional service however it has been this way for the last few years.  The reception staff on the desk can vary in how welcoming or blatantly rude they are. I find it rather shocking in a country such as America that is apparently so service driven that from some of the employees at this hotel they can behave in"
1023,In general the hotel is dated. Ceiling Shower Head not working as it should due to limescale  In room safe doesn’t work Shower floor is disgusting I coffee pod it’s what’s left in your room no cream just dairy powder The cleaning is also unifficient and make sure your room door is properly closed as for twice was left open The receptionist on duty on the night of 20/8 was really a charm not providing any further information than saying no I’m sorry   Not good at all
1024,"Was here for business, however in the current situation it was sad not to see all the normal staff at the hotel, especially the amazing doorman. Room was very adequate apart from the iron spitting out dirt on my shirt. Had the problem of only 2 pillows on the bed, this isn't normal and normally have 4 very large ones.  Overall a good stay."
1025,"This hotel has a great location. The bed was very comfortable and the room was clean. The service from the reception staff was polite, but minimal. No info about the hotel was given at check in, no asking if everything was ok as we checked out. The tea and coffee was not replenished each day, neither were the bathroom products. It was a good base for us to explore the city, but we were not bowled over by it."
1026,We arrived in Chicago about 8.30 pm and were really excited for the first leg of our holiday. The doormen took 1 case from the car and left us to move the cases. The receptionists did not greet us with the attitudes we expect from a 4 star hotel and were not forthcoming with any information about the hotel. We were left to our own devices to get to the room. As the title says the room/suite is amazing which is good as it cost quite a lot. There was no complimentary water in the room which is expected normally. We went back down to reception to enquire about breakfast and was told the restaurant was shut. We then asked for a map and the receptionist circled an area of 3/4 blocks and said you are here somewhere. She struggled to pinpoint where we actually were and could not give
1027,"Centrally located near the Magnificent Mile. Shops and restaurants aplenty. Hotel is vintage but not shabby. Sound insulation is the only con as you can hear everything crystal clear from closing doors, to people using the bathroom. Outside street noise can also be quite loud if you're a light sleeper."
1028,"As a business traveller this hotel is one of the worst hotels I have ever came across. The noise is constant from housekeeping and engineer even drilling next door ! Lastly receptionist is beyond rude !  Other staff like bellman are charming ,this hotel really needs to address these issues hence my post as complaining made no difference"
1029,"The hotel location next to Hancock tower and just off Michigan Avenue is great for most tourist and business travelers alike. The bed was very comfortable, but the standard room is cramped. There is 2-3 feet around the bed on all three sides and the desk chair bumps against the bed when you sit down to work. Free wifi is slow (we did not pay the $10 upgrade charge to faster speeds).  The hotel charges a mandatory $15 facility fee per day per room. This is not included in the price listed on booking sites including the hotels own. The facility fee covers business center and gym. The gym is a small room on 2nd floor with no windows with a few running tracks and bar bells. Not worth the $15. I have traveled to 40+ countries and this is first time I have seen a such fee for a"
1030,"We stayed at the Knickerbocker for one night.  Check out wasn’t till noon so we had time to eat breakfast and do the 360 Chicago Observation Deck before checking out.  Location is great.  We walked everywhere.  Went to Millennium Park, Maggiano’s for dinner, Mag Mile.  The hotel was clean, comfortable and centrally located.  Staff very friendly.  Would highly recommend a stay there."
1031,"The knickerbocker was a complete disappointment. I booked 7 nights for a family vacation. Upon checking in we were informed that there was NO Pool. (Although it is listed as one of the amenities. Complete false advertisement and the front desk was not slightly surprised as “it happens frequently” “Not all of the pictures online is of this property, we get that a lot!” Giving the benefit of the doubt we looked at the room. It was completely outdated and smelled of mold. We proceeded back to the front desk and asked if we could get a refund and check out to go find a new hotel. Keep in mind the full 7 nights were charged in FULL the day prior to arrival (although on line it stated it would not be charged until check in.) The front desk manager agreed to a full refund, and"
1032,"Needed a good night's sleep after a big day in the Windy City.  We got it at the Knickerbocker.  The room was updated, bed comfortable, and bathroom clean.  Priceline provided a reasonable cost for what we were looking for.  Would stay there again."
1033,"We have just returned from Chicago and had the pleasure of staying in this hotel. The hotel is in a great location and is within walking distance of museums, shopping, restaurants, the beach and other touristy interests. All of the hotel staff were amazing and could not have been more helpful. We were very lucky to have our room upgraded as we were celebrating our 2nd wedding anniversary. The hotel staff even provided a bottle of bubbly and chocolate covered strawberries which were gorgeous and completely unexpected. We would definitely return to this hotel without hesitation and hope to do so next year!! Do not hesitate...book this hotel!! You will not regret it!!"
1034,"When I booked the Knickerbocker I was not expecting a valet parking fee of $69 per night! I can forgive this as parking is expensive in general in downtown Chicago. A small problem we had was, the hotel restaurant was closed when we got back around 10.30pm one night and the staff said they could not heat up our 1-year-old's pre-cooked meal. The room was very comfy and the space was satisfactory considering the location of the hotel. The restaurant staff (when it's actually open) are extremely friendly and wonderful to talk to. A good hotel, but the extra expenses can add up and you'd end up paying a hundred or so more dollars than you signed up for."
1035,"The bed was so big and the shower was THE BEST. We had a standard king room. I wish valet or parking was included in the stay but it was $69 which ends up being cheaper than some overnight parking in Chicago. Overall, the price was great and the rooms were so nice we will continue to stay here in the future. We had an issue where we warned valet that we would be leaving at 4 am and they said we could still valet. They told us they were bringing our car around and then 20 minutes later they asked us if we were asking for our car. we waited 40 minutes for our car because the concierge said valet was working when they had not even begun to work yet. not the valet's fault but don't lie to your customer's front desk."
1036,"I am currently spending my second night at this hotel.  Came her for a wedding.  Checked in Friday, no soap.  Called front desk. No way to call housekeeping.  Took many, many rings before someone answered.  This was true most of the times I called.  Someone came up with one bar of soap. Was I supposed to take it back and forth from sink to shower? Called about charge to my Visa.  Put on hold.  After about 7 minutes, I called from my cell.  5 minutes later, cell was answered, while I was still on hold on the hotel phone.  Front desk understaffed.  Trip advisor checks that there is a concierge.  Not true.  No concierge.  Next am I went to make coffee.  No cup.  Told Candice , manager, Got me a coffee.  Room not made up by 1 pm.  When it was made up.  No towels. No soap. No coffee"
1037,"One of the nicer hotel experiences I have ever had.  Great, attentive staff.  After a rather horrible travel experience to Chicago they were terrifically accommodating (and calming) upon arrival.  Very clean rooms.  Can't beat the location.  Great bar in the lobby."
1038,"This was our 3rd stay at the hotel, and while we started out a bit rocky (issue with our reservation), the hotel manager, Clarice, was more than welcoming and helpful to assist.  As I was searching for our reservation confirmation, Clarice worked diligently to rectify the issue on her end and all ended perfectly well.  We no longer felt anxious and concerned about our hotel stay and enjoyed a wonderful week's stay in Chicago.  Additionally, the breakfasts and servers were top notch, as were the bar folks.  We will definitely stay at the Knickerbocker when we plan our next Chicago visit!"
1039,"An hotel with old fashioned charm and in a good location, but it is very badly in need of a refurb.   The reception and lobby area needs new carpeting and a general upgrade. It has a very run down feel.  The bed was comfortable and clean but the room was more than a little shabby; bathroom floor tiles cracked, scuffed walls and badly frayed carpet which was just this side of being a trip hazard. If I’d been staying longer I would have asked for a different room.  The food in Nix was fine but an incredibly slow service. I sat for 15 minutes after being given the breakfast menu before anyone took an order.  Overall I was very disappointed with my stay."
1040,"My wife and I, along with our two kids came to stay at the Hotel Monaco in downtown Chicago recently. The hotel is perfectly situation along the Chicago River, an easy walk to the Navy Pier, and so many other downtown attractions. The room was spectacular with the little sitting windows. Our kids would wake up each morning and hang out in those nooks! The customer service, from the people at the front desk, to the General Manager Adam Gurgiolo were superior. We could not have asked for nicer people to interact with at this hotel. We would highly recommend this hotel to anyone visiting Chicago if they are looking for outstanding customer service, a luxury property and views to die for!!"
1041,"Booked 3 nights, because I needed a break from my work.  We weren’t sure what to expect due to the pandemic.  We were greeted by Gretchen, who couldn’t have been any nicer.  Maybe the nicest person on planet earth. She gave us a run down of the hotel and what to expect in the city.  Our room was very very clean!  As a hotel Rooms Director,  trust me I can find things that’s wrong in a hotel room. The place was beyond spotless!!! Back to Gretchen, while my husband park the car down the street we chatted and she greeted/acknowledge every  guests that come and go through the front door.    Fast forward to the next few days. We would come and go 5 times a day through the lobby and majority of times we said hello first and when we didn’t we got no acknowledgement. It is true,  your"
1042,"Alexandra was a queen: check in top notch. She was understanding of my personal struggles upon check in. She gave me the top floor, complimentary toiletry gifts, and the comfort and hospitality was top notch. This hotel should be 5 stars just for her service.  I will certainly return in the near future. Thank you all for making this a memorable stay. I have yet to receive better service."
1043,The idea of perfect customer service is Abdul Albow at the front desk. Extremely professional and helpful! Great job guys! Room was extremely clean. Anything that we needed Abdul took care of it. Check in was extremely fast with no hiccups. I parked at a garage right down the street for the weekend that was within walking distance and reasonable prices.
1044,"I was a little nervous about traveling during the pandemic, but Gretchen Mitz made it all worthwhile. Not only was she warm, friendly, and welcoming..but had answers to ever question asked. PLEASE......make sure she is rewarded in some form. She truly goes above and beyond the call of duty. Thank you Gretchen for making my stay....MEMORABLE."
1045,"My friends and I planned a dinner and show in the city. We chose to stay at hotel Monaco. We could not have been more pleased. When we arrived they had a complementary wine hour in the lobby. While enjoying some wine, I noticed the hotel offered a bicycle if needed and dog bowls for your pet to grab a drink. The staff was so welcoming and accommodating. We were able to stay in a beautiful room with a view of the river. We were a few blocks away from the theater with great restaurants near by for dinner. After the show we headed back to the hotel for a drink at the  hotel bar. The bar tenderer was very personable and great to talk with. We had a great night. The Monaco staff and ambience makes this hotel a place I would love to visit again soon!"
1046,"I have been to Chicago many times, but this visit sincerely was beyond belief! Gretchen greeted me and immediately I knew this would be my best visit to Chicago!   I have stayed at about every hotel in this city, but never have I received a welcome like this.Not only me, but others in the lobby were all about Gretchen we wll! She is an outstanding ambassador for Chicago and the entire Kimpton chain. I truly appreciate her and her outstanding customer service. "
1047,This hotel enjoys a great location and it is nearby the Magnificent Mile and the Millennium Park. The reception staff is great and super helpful! They made me feel welcome and assisted me with my hotel needs. I would definitely recommend this quaint and classy hotel. I just hope they get me into higher floor next time around!
1048,Stayed overnight at the Kimpton Hotel Monaco Chicago on March 7th. I was in town with a childhood friend who had never been to Chicago. Gwen at the front desk made sure that his first trip to Chi-Town was memorable. We stayed on the 11th floor with a river view and a window seat big enough to sleep on. The room was very clean and spacious. The doorman and bellhop were very friendly and courteous. I’m definitely looking forward to bringing the Mrs. back for her birthday in a few weeks.
1049,"Stayed at the Hotel Monaco for Leap Day weekend.  Location was perfect, walking distance to Miracle Mile, Navy Peer and  Millennium Park.  Hotel has a nice little bar with drinks my date loved, very foo-foo.  Should be able to book on Priceline for $80-$150/night."
1050,"I stayed at the Hotel Monaco for 2 nights as part of my birthday/wedding anniversary weekend. I had indicated my check in time and the occasion for my visit. Check-in was smooth and as soon as I opened the room I was definitely wowed (if that's even a word)!   Very artsy decor in the room, comfortable bed and lots of instagrammable locations in the room and bathroom. Throughout my stay, I occasionally received text messages from the hotel asking how things were going. This was a nice touch.  In terms of improvements, here are some recommendations I have- - Don't just provide complimentary tea and coffee downstairs for customers. Add some fruit or a few cookies. This will add an extra touch to the hospitality.  - Provide a non-alcholic beverage option during the complimentary"
1051,Centrally located in the Loop. Walking distance to great restaurants and shopping. Terrific coffee and tea served in the lobby to start your day and wine hour starting at 5 to end the day-a perfect combination.
1052,"The staff made the stay so special!  They were friendly and so happy to serve their guests. Staff went above and beyond...when I realized I had forgotten my coat in my car that the valet had parked the day before, they went to get it for me and had it to me within minutes. Ate at the restaurant once and it was great. Location is super close to theaters, restaurants and shopping. Room is spacious and decorated beautifully. I could occasionally hear street noise (honking) and floor noises from next room but couldn’t hear TV or conversations. For the most part, very quiet. Definitely a great value. Highly recommend! "
1053,"This was our second time staying at Kimpton Hotel Monaco in Chicago and it has yet to disappoint! The staff is always so professional and friendly. Although we didn’t travel with a pet, I was very impressed with how dog-friendly they were. They even had a water and treat bowl out in the lobby for all of their four-legged guests. We stayed in a king deluxe room with the river view (totally worth the extra money). My FAVORITE part about this hotel is the little nook you get in your window in your room. Since we had a river view room, I was able to lounge in that nook and just watch the city (great way to end the night). Other than our awesome nook, the room was clean and very modern. I also utilized their fitness center, which has weights, ellipticals, treadmills, and a PELOTON!"
1054,"We have stayed at many hotels in Chicago and none have been this clean and with great staff! We were greeted right outside our Uber and everyone from him to the front desk, to the person who brought our luggage to our room were exceptional!   We came for my daughters 21st birthday and received an upgrade with a great view and window seat. Nothing beats the window seat!  This is the only hotel we will be staying at from now on!!!!! Great location to everything!  Thank you!"
1055,Were in Chicago for three days.  The location is in the theater district and within walking distance of the Art Institute can't be beat.  The staff was extremely helpful and friendly and steered us to some excellent places to eat and to enjoy live music and drinks.
1056,"I had the pleasure of staying at the Kimpton Hotel Monaco Chicago for a night while in the city with my nephew, and we enjoyed a beautiful one-bedroom suite.  The room was clean, very well maintained, and had plenty of space--the comfy seating along the windows was even a nice touch.  Hotel staff was super friendly and casual (in a good way).  Location in the Loop was excellent--close by just about everything, including the train lines.  I'll definitely be back to stay here again."
1057,"I really liked the hotel. great rooms, great decor, staff is friendly. great  restaurent downstairs adjacent to the Hotel for breakfast. Same thing for the restaurent, great decor,  staff is nice and helpful. My only negative, I was walking from about a mile where I had dinner with customers. Passed in front of it  a few times looking for the Kimpton hotel. It doesn't say Kimpton hotel at the front. weird!!I guess they just joined ..not sure."
1058,"We absolutely loved staying here! Not only it’s conveniently located in the heart of downtown, but the staff is friendly, and the rates are reasonable. The eclectic decor is fabulous!! The fact that it’s dog friendly is only the icing on the cake. This will be our go to place whenever we visit Chicago! Can’t recommend it enough!  "
1059,"We came to Chicago to explore the city center, and what an amazing experience we had at this property!  The entrance was humble, in comparison to some of the other properties in the area, and the lobby was cozy and inviting.  Alexandra and Eric checked us in. Each was engaging and delightful. Our room was upgraded to a Corner King 1BR suite on the sixth floor, and we couldn't have asked for a better room.  The only thing lacking was a bathtub.  The view was spectacular, looking out onto the Chicago river, and I immediately found myself relaxing on the window seats, (which were at several of the windows), taking in the sights.  Fruit, sparkling wine, and water were placed in our room while we attended the wine hour, a nice surprise.  The carpeting and color of the hallways and"
1060,Wow! Is all I can say. This hotel was amazing in every way. I cannot wait to plan another trip back to Chicago and stay at the Kimpton. From check-in to check-out we were treated special. I mentioned to the young gentleman checking us in that this is a late birthday celebration and he immediately asked what wine I preferred and brought a bottle up! The swanky decorations in our room and throughout the hotel were a major added bonus to the stay. Fresh fruit infused water available at all times of day and coffee and wide selection of tea in the mornings. Due to our time constraints and itinerary we didn’t get to participate in the nightly happy hour with wine they have every evening. I even called the front desk to ask if they had a better blow dryer and one was delivered to my
1061,"The Monaco Chicago used to have a wonderful upscale bohemian ambiance. The lobby was exceptional, different seating options, art, bar where guests could work... it was welcoming, and a great place to meet and greet, or enjoy the social hour. The rooms were similarly decorated... Recently, the hotel has been redecorated.. they have lost the feel of the Kimpton Monaco.. the lobby is basic, more similar to chain hotels, and the rooms have lost character and furniture such as  the modern couches and reading chairs, not to mention the animal print robes, blankets for window seats.. those small touches that made it such an exceptional place.  The service at the hotel continues to be excellent, and the location is great,... just sad to see it lose so much of what made it a destination"
1062,"We typically spend a weekend in Chicago during the holidays to take in the lights, shop downtown, visit the Kindlemarket and maybe see a show.  It had been probably 20 years since we last stayed at the Monaco, and we were pleasantly surprised.  Newly remodeled, it was extremely comfortable and inviting.  Staff was wonderful, and we both loved the fact that we did not have to check out until noon."
1063,"One of the friendliest hotel staffs in Chicago!  Excellent location, amazing service and dog friendly like all of the Kimpton properties.  LOVE this place, especially for the people who work here!  Close to everything, 1/2 block from Michigan Avenue."
1064,"I don’t write many reviews but feel obligated to share a wonderful experience. I honestly cannot think of a complaint. Perfect central location, very clean, quiet. Walking distance to theaters, the bean, navy pier and magnificent mile. The staff was incredibly friendly and helpful. Though I did not partake the complimentary wine happy hour was a nice option. I had my children with me and they loved the window sitting areas. They pulled the curtains and had their own private “nests” with WiFi and an amazing view of the river and trump tower. They even slept in the windows several nights (sounds odd but they’re about 6’x3’ with a nice mattress pad and pillows). Not sure when or if I’ll be back to Chicago but if I do I will definitely stay here."
1065,"Our 3rd stay at Hotel Monaco!...my daughter and I come to Chicago every other year...magic the first time and magic this time...early check-in and room ready...LOVE the new room decor...view of the river...the “L” and Sears Tower...lovely!!!...spotless room!...comfy bed and fabulous bath!...beverage service every morning in the lobby...My very best to Antonio...and to the entire staff at Fisk and Co. with a shout out to Samantha, Amir and Paul....thank you all for making us feel at home while in Chicago...see you again in 2021! Happy Thanksgiving 🦃"
1066,"Every time I stay at a Kimpton I enjoy myself immensely.  This was no exception.  The hotel was beautiful, cozy, and happy.  The location was great, too!  Just one turn off from the window.  Opt for a river view!  It was great sitting in the window frame looking out over the city.  The only unfortunate part is that the Trump Hotel is in sight."
1067,"Had to stay an extra night in Chicago due to the weather and moved from another hotel to this one due to overbooking.  The Kimpton was one I was not familiar with but the one bedroom suite I had was very spacious, clean and was conveniently located."
1068,"I stayed at the Hotel Monaco in connection with a business meeting held at the hotel.  Check in was a breeze.  The lobby is really nice with a lot of sitting places.  My room and bathroom were very nice.  The one drawback is no coffee maker in the room.  You can get tea and coffee just off the lobby even in your bath robe.  Breakfast is served at the Fisk & Co. restaurant in the hotel with limited, but adequate choices.  The meeting room was very quiet and set up to our satisfaction.  We had a very good lunch served by buffet in our meeting space.  The attendant was  attuned to our needs.  The Monaco is just across the bridge from Michigan Avenue's miracle mile."
1069,"This was my first visit at the Hotel Monaco, and it is by far my new favorite hotel in Chicago! First, the team there is outstanding! Front desk Alexandra, Samantha, Eric, Gwen and Ronald-awesome! Bellmen, Dion and Conner so great, and Laura and Lorraine kept our room beautiful!!  Second, the Fisk-restaurant delicious! Great staff lead by Amanda and Payton our server. Third-the Hotel is BEAUTIFUL!! Loved the Art Deco feeling-but modern!! Last-LOCATION, LOCATION, LOCATION!!! We walked everywhere with ease! Convenient to just about everywhere we went! We will be back!! Awesome team and hotel!!"
1070,I stayed here for a meeting and what a great place. Conveniently located to all downtown shopping and eating. Everyday morning tea and coffee and evening wine. The rooms are spacious and quirky. The beds are comfortable. I’d definitely stay here again 
1071,"We had an awesome experience and the customer service level is beyond expectations. Caroline at check in & out was awesome.. she had a cab prepared for us although we didnt need it. Great conversations. The front desk was awesome and the housekeeper who cleaned our room Saturday night was great! Although we didnt interact in person, we interacted through notes!. The restaurant had great food and the staff was super friendly and attentive."
1072,"We stayed three nights at the hotel. The staff was at your beckoned call. Antonio, Joshua & Sonya took great care to make sure all our needs were provided, The wine & hors d'oeuvres in the afternoon provided a nice time to relax after a day of adventure. The hotel is centrally located making it easy to walk around, catch ""Hop on-Hop off"" bus and the boat tour. Also close easy walk along the river trail. I would recommend this hotel for cleanness, service and location."
1073,"I only stayed at the Monaco for a night, but would definitely stay here again.   The king room I stayed in, which I think is one of their base rooms, was gorgeous, modern, and clean. The furnishings were some of the most beautiful I have seen in a hotel.   It was a decent size room, but the window was super small. Not sure if all the base rooms are like that, but it wasn’t a deal breaker for us, especially for one night. Also, try and get a higher floor. We were on 4, and could hear a lot going on down on the street below.   This place is walkable to everything, would definitely stay here again. "
1074,"Had a great night at the Kimpton.  I’d like to thank, Dion and Alexandra at the front.  They were very friendly and made both check in and check out a breeze.  I’d also like to thank the staff for the excellent recommendations for breakfast, lunch and dinner.  The location is perfectly located for the best of the Riverwalk and Big Bus tours.  The attached restaurant was very good as well."
1075,"We used credit card points to book this hotel over Labor Day weekend and chose a Suite style 2 room layout.  Wow, were we pleased.  The room was on a corner, with awesome views of the Chicago river and city hustle and bustle.  The rooms window ledges were so wide and long that my 6' 4"" son and 5' 9"" daughter both napped or just stretched out to read during day and evening time in the room.  Dad got pats on back from kids and wife that I reserved the ""best room ever.""  That never happens, cause I tend to go more budget.....but splurging on this room was worth it.  I also enjoyed the free cruiser bike rental and rode miles up and down the lakeshore drive bike paths.  Fun!"
1076,First time in Chicago ! The team at the Monaco made us feel like at home! Everyone is so caring and nice they all had great  recommendations of were to go and what to do. specially the bellman Antonio he is a gem! He has been with the hotel for over 20 years...so pleasant to talk to he always has a smile in his face. Everyone in the Front office team is amazing! Abdul the Front office manager is great ! Kudos to the housekeeping  team the rooms apart from being beautiful they are spotless clean! 
1077,"A beautiful boutique hotel, in a superb downtown location.  Coffee in the lobby is the best. I would have given it 5 stars, but upon returning home, found we had been charged for a bottle of wine from the fridge.  We took our own wine and beer. I called hotel and they had the charge reversed.  "
1078,"I love the Kimpton Hotels and chose to stay at the Monaco in Chicago last fall. Although it is right in the center of everything downtown, it is very quiet. The room is typical Kimpton Monaco with two plush beds, a lovely reading chair, small bathroom (due to this being a refurbished hotel). Bonus was the window seat which gave me an excellent view of the Trump Towers and the Christian Science Reading Room.   The hotel is only two blocks away from the wharf to catch the architecture boat tour. They have a bike you can borrow if you want to bike along the river.  The service is of course five stars. I used the concierge service to book my tour and to find a restaurant for dinner. As I was on business, I stayed only one night, but I was able to leave my bags at the front desk so I"
1079,"Quaint hotel in an awesome location. The staff were extremely friendly and helpful and our room was great. Spacious with comfortable beds. Despite overlooking a decently busy street, noise was not an issue."
1080,"Stayed here for business and a fantastic hotel.  Great staff, very helpful, rooms very comfortable, good choice of breakfasts and right in the heart of shopping and restaurants.   No request was too much and even though they don’t have a business centre they helped with any request I had swiftly and helpfully."
1081,"This hotel exceeded my expectations. I was on the 8th floor, which looked remodeled. The hallway was so unusual and pretty. My room was large and beautifully decorated with blue and yellow. The bathroom was large and had a lovely marble sink, tub with overhead hand held showers, and stylish chrome grab bars.  The free coffee in the lobby was a nice touch. Fitness room was a good size. I liked the alternative 80s and 90s music in the elevator and lobby!"
1082,"The rooms are so unique, window seats, large bathroom. We came to chicago for a little getaway for a friends bday and there was plenty of room for all 4 of us. The staff are incredible, Jonathan, Ron and Gabe helped make our friends birthday so special. They are amazing. Thank you guys so much. Also the bartender in the am was very helpful with giving things to do, and her drink making skills.... mmm"
1083,I Loved the room. You can tell this hotel has been recently updated and upgraded. Comfortable window seats were a great place to relax and enjoy the city views.  Nightly wine night provided a unexpected and enjoyed start to the evening. 
1084,Great staff and  location.  There is construction going.on outside but I did not hear any noise from it. I had a great upgraded corner room.  The exercise room was good.  The bar area and wine reception are a reason to stay here alone
1085,"The wifi would not stay connected during our entire stay, which was very frustrating, but overshadowed by the poor service and lack of follow up by the hotel staff regarding the issue.  Per their guidance, on our first day I contacted the support number and they were able to verify that they were having issues with the WAP and/or repeater in our area of the hotel (top floor) but would get it fixed.  As the issue was not being resolved, I contacted the front desk one to two times per day during our 4 days there.  They apologized, offered free cocktails, asked us to move rooms (on our final day), but never actually followed up on anything, proactively contacted me, or drove it to resolution.  There was no ownership of the problem, just me asking over and over if it was fixed. "
1086,"Ron, who I believe manages the front desk, checked us in and we were delighted to find that we had been upgraded to an amazing room with awesome window seats and views of the river. This hotel is in a great location in downtown Chicago and the staff are the best. The hotel is newly renovated in a perfectly boutique fashion. Excellent food and cocktails, very comfortable bed, awesome bathrooms. Stay here!"
1087,"Chicago was our first stop on our American holiday and we couldn't have stayed in a better hotel. We arrived quite tired after a long flight. The doorman and reception desk were friendly and helpful. The room wasn't particularly large but was well planned with sufficient storage, amenities, USB plugs and most importantly a good sized bathroom. The location is central which means you can walk to many of the sights, take the L further afield or short taxi rides which weren't expensive. Walking distance to Andy's Jazz Café and around the corner from the Witt - hotel with a lounge on the 23rd floor - not the highest view point in Chicago - but a pleasant place to have a drink. The restaurant at the hotel had decent food and good choice of seafood and getting breakfast was easy. They"
1088,"My husband and I booked this hotel for a last minute weekend trip to Chicago. We knew relatively little about the hotel when we booked it but we liked the location and price.   We were blown away by our experience! The staff were so incredibly polite and accommodating and the rooms were just beautiful. We had a lot of things planned in the short time we were there and it was so relaxing to come back to our room at the end of each night to unwind. I especially appreciated the pump bottles of shampoo, conditioner, and body wash - there was more than enough to take care of my thick hair for the weekend!   We would absolutely stay here again on our next trip to the city. "
1089,Accompanied my wife who was on a business trip to Chicago.  We have stayed here before and always is a pleasure.  Their complimentary wine hour is a bit hit with the guests.  The person pouring the wine is always generous with his pours.  Some light finger foods are also served.
